"wrestler_name","wrestler_rank","wrestler_matches","wrestler_wins","wrestler_losses","wrestler_draws"
"Ted DiBiase","28","92","32","60","0"
"Adam Bomb","29","90","52","38","0"
"Marty Jannetty","30","90","40","48","2"
"Terry Taylor","31","90","21","69","0"
"Kamala","32","83","47","36","0"
"The Brooklyn Brawler","33","81","17","64","0"
"Randy Savage","34","74","39","29","6"
"Ludvig Borga","35","71","25","45","1"
"Jim Duggan","36","70","27","43","0"
"Jim Powers","37","67","16","51","0"
"Jacques","38","65","23","42","0"
"Typhoon","39","65","39","26","0"
"Mr. Hughes","40","63","46","16","1"
"Mo","41","62","50","12","0"
"Mabel","42","61","48","13","0"
"Jerry Sags","43","59","26","15","18"
"Pierre","44","59","23","36","0"
"Diesel","45","58","19","39","0"
"Beau Beverly","46","56","1","55","0"
"Brian Knobbs","47","53","19","16","18"
"Giant Gonzalez","48","51","11","37","3"
"Rick Martel","49","51","19","31","1"
"Skinner","50","51","25","26","0"
"Barry Horowitz","51","45","2","42","1"
"Reno Riggins","52","45","1","44","0"
"Butch","53","44","35","9","0"
"Luke","54","44","35","9","0"
"Iron Mike Sharpe","55","39","0","39","0"
"Repo Man","56","37","4","33","0"
"Kim Chee","57","34","1","33","0"
"The Predator","58","33","3","30","0"
"Jerry Lawler","59","32","14","18","0"
"Koko B. Ware","60","32","5","27","0"
"Ric Flair","61","30","1","28","1"
"Little Louie","62","27","1","26","0"
"Tiger Jackson","63","27","26","1","0"
"Timothy Well","64","24","7","17","0"
"Steven Dunn","65","23","7","16","0"
"Hulk Hogan","66","22","20","2","0"
"Brutus Beefcake","67","21","20","1","0"
"Scott Taylor","68","21","0","21","0"
"The Big Boss Man","69","21","4","17","0"
"Barry Hardy","70","20","1","19","0"
"Duane Gill","71","20","1","19","0"
"Mike Bell","72","20","0","20","0"
"PJ Walker","73","20","1","19","0"
"Phil Apollo","74","18","1","17","0"
"Rich Myers","75","18","1","17","0"
"Tony Roy","76","17","0","17","0"
"Jeff Jarrett","77","16","13","3","0"
"Luna Vachon","78","16","11","5","0"
"Sensational Sherri","79","16","5","11","0"
"The Berzerker","80","16","0","16","0"
"Tony DeVito","81","16","0","16","0"
"Chris Duffy","82","14","1","13","0"
"Dan Dubiel","83","14","0","14","0"
"Glen Ruth","84","14","0","14","0"
"Jim Brunzell","85","14","5","9","0"
"Johnny Polo","86","14","3","11","0"
"Max Moon","87","14","2","12","0"
"Russ Greenberg","88","14","1","13","0"
"Bert Centeno","89","13","0","13","0"
"The Red Knight","90","12","0","12","0"
"Brian Costello","91","11","0","11","0"
"Executioner #1","92","11","0","11","0"
"Louie Spicolli","93","11","1","10","0"
"The Black Knight","94","11","0","11","0"
"Tom Stone","95","11","0","11","0"
"Dwayne Gill","96","10","0","9","1"
"Jimmy del Ray","97","10","9","1","0"
"Mike Khoury","98","10","0","10","0"
"Tom Prichard","99","10","9","1","0"
"Dale Wolfe","100","9","0","9","0"
"Owen Hart","1","192","69","121","2"
"Jeff Jarrett","2","179","121","55","3"
"Tatanka","3","178","82","64","32"
"Lex Luger","4","177","133","17","27"
"Razor Ramon","5","170","144","21","5"
"Bret Hart","6","167","159","7","1"
"Yokozuna","7","164","66","94","4"
"The 1-2-3 Kid","8","160","80","77","3"
"Doink","9","159","76","83","0"
"Adam Bomb","10","157","95","60","2"
"Bam Bam Bigelow","11","157","79","76","2"
"Irwin R. Schyster","12","157","102","55","0"
"Diesel","13","156","117","32","7"
"Kwang","14","155","59","94","2"
"Mabel","15","153","86","66","1"
"Fatu","16","142","93","49","0"
"Billy Gunn","17","141","99","40","2"
"Bart Gunn","18","134","98","34","2"
"Pierre","19","121","38","82","1"
"Samu","20","117","82","35","0"
"Alundra Blayze","21","108","103","3","2"
"Crush","22","104","33","70","1"
"Jim Neidhart","23","85","24","61","0"
"The Undertaker","24","85","84","1","0"
"Tom Prichard","25","82","33","48","1"
"Jacques","26","79","33","45","1"
"Shawn Michaels","27","78","37","41","0"
"Luke","28","77","63","14","0"
"Duke Droese","29","76","59","17","0"
"Butch","30","74","60","14","0"
"Bob Backlund","31","73","34","39","0"
"Jimmy del Ray","32","73","33","39","1"
"Sparky Plugg","33","73","54","19","0"
"Randy Savage","34","64","42","22","0"
"Steven Dunn","35","63","8","55","0"
"Timothy Well","36","62","8","54","0"
"Bull Nakano","37","53","5","46","2"
"Mo","38","53","27","26","0"
"The British Bulldog","39","53","48","2","3"
"Bob Holly","40","47","31","15","1"
"Rick Martel","41","43","8","32","3"
"Bastion Booger","42","42","9","33","0"
"Jim Powers","43","42","2","40","0"
"Earthquake","44","39","35","2","2"
"King Kong Bundy","45","39","26","12","1"
"Luna Vachon","46","39","1","38","0"
"Nikolai Volkoff","47","36","24","12","0"
"The Brooklyn Brawler","48","36","1","35","0"
"Barry Horowitz","49","33","0","33","0"
"Reno Riggins","50","30","0","30","0"
"Virgil","51","30","2","28","0"
"PJ Walker","52","28","2","26","0"
"Jerry Lawler","53","27","20","7","0"
"Mike Bell","54","26","0","26","0"
"Thurman Sparky Plugg","55","25","19","5","1"
"Abe Schwartz","56","24","13","10","1"
"Marty Jannetty","57","24","8","15","1"
"Rick Steiner","58","24","20","1","3"
"Typhoon","59","24","4","20","0"
"John Paul","60","22","3","19","0"
"Scott Steiner","61","22","17","3","2"
"Tony DeVito","62","22","0","22","0"
"Aldo Montoya","63","21","21","0","0"
"Executioner #2","64","21","0","21","0"
"Iron Mike Sharpe","65","21","0","21","0"
"Sionne","66","21","11","10","0"
"Executioner #1","67","20","0","20","0"
"Leilani Kai","68","20","0","20","0"
"Barry Hardy","69","18","0","18","0"
"Duane Gill","70","18","0","18","0"
"Phil Apollo","71","18","0","18","0"
"Scott Taylor","72","18","0","18","0"
"The Undertaker","73","18","16","2","0"
